CASENUM,VEH_NO,PER_NO,PSU,PSU_VAR,PSUSTRAT,REGION,REGIONNAME,URBANICITY,URBANICITYNAME,STRATUM,STRATUMNAME,PJ,WEIGHT,PBAGE,PBAGENAME,PBSEX,PBSEXNAME,PBPTYPE,PBPTYPENAME,PBCWALK,PBCWALKNAME,PBSWALK,PBSWALKNAME,PBSZONE,PBSZONENAME,PEDCTYPE,PEDCTYPENAME,BIKECTYPE,BIKECTYPENAME,PEDLOC,PEDLOCNAME,BIKELOC,BIKELOCNAME,PEDPOS,PEDPOSNAME,BIKEPOS,BIKEPOSNAME,PEDDIR,PEDDIRNAME,BIKEDIR,BIKEDIRNAME,MOTDIR,MOTDIRNAME,MOTMAN,MOTMANNAME,PEDLEG,PEDLEGNAME,PEDSNR,PEDSNRNAME,PEDCGP,PEDCGPNAME,BIKECGP,BIKECGPNAME
202102934069,0,1,78,78,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4146,28.188926483,998,Not Reported,8,Not Reported,5,Pedestrian,1,Yes,0,None Noted,0,None Noted,770,Motorist Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
202102934774,0,1,67,67,8,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4152,27.545013803,30,30 Years,1,Male,5,Pedestrian,0,None Noted,1,Yes,0,None Noted,680,Not At Intersection - Other / Unknown,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,5,Sidewalk / Shared-Use Path / Driveway Access,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,990,Other / Unknown - Insufficient Details,0,Not a Cyclist
202102934775,0,1,67,67,8,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4152,27.545013803,35,35 Years,1,Male,5,Pedestrian,1,Yes,0,None Noted,0,None Noted,770,Motorist Failed to Yield,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,1,Northbound,7,Not a Cyclist,4,Westbound,3,Straight through,1,Nearside,1a,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian within crosswalk area, traveled from motorist’s left",750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
202102935273,0,1,48,48,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,91,27.805894255,40,40 Years,2,Female,5,Pedestrian,0,None Noted,0,None Noted,0,None Noted,610,Standing in Roadway,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,600,Pedestrian in Roadway - Circumstances Unknown,0,Not a Cyclist
202102935633,0,1,70,70,16,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",2,Rural Area,2,Stratum 2 - Not a MV Occupant Any Injury,137,28.374005808,7,7 Years,2,Female,5,Pedestrian,1,Yes,0,None Noted,0,None Noted,781,Motorist Left Turn - Parallel Paths,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,790,Crossing Roadway - Vehicle Turning,0,Not a Cyclist
202102937342,0,1,56,209,20,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,209,33.947189032,67,67 Years,2,Female,6,Bicyclist,0,None Noted,0,None Noted,0,None Noted,0,Not a Pedestrian,158,Signalized Intersection - Other / Unknown,7,Not a Pedestrian,1,At Intersection,77,Not a Pedestrian,1,Travel Lane,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,190,Crossing Paths - Other Circumstances
202102938169,0,1,63,63,16,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",2,Rural Area,2,Stratum 2 - Not a MV Occupant Any Injury,4135,27.245731615,17,17 Years,1,Male,5,Pedestrian,0,None Noted,0,None Noted,0,None Noted,781,Motorist Left Turn - Parallel Paths,0,Not a Cyclist,2,Intersection-Related,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,9,Not Derived/Unknown Initial Direction of Travel,7,Not a Cyclist,4,Westbound,1,Left Turn,2,Farside,12c,"Motorist turning left - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, approach direction unknown",790,Crossing Roadway - Vehicle Turning,0,Not a Cyclist
202102938214,0,1,78,78,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4146,28.188926483,63,63 Years,1,Male,6,Bicyclist,0,None Noted,0,None Noted,0,None Noted,0,Not a Pedestrian,160,Crossing Paths - Uncontrolled Intersection,7,Not a Pedestrian,1,At Intersection,77,Not a Pedestrian,3,Sidewalk  / Crosswalk / Driveway Access,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,190,Crossing Paths - Other Circumstances
202102938877,0,1,83,83,13,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4148,28.260852768,24,24 Years,1,Male,5,Pedestrian,0,None Noted,0,None Noted,0,None Noted,781,Motorist Left Turn - Parallel Paths,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,9,Not Derived/Unknown Initial Direction of Travel,7,Not a Cyclist,9,Unknown Initial Direction of Travel,1,Left Turn,2,Farside,11c,"Motorist turning left - Crash Occurred on Far Side of Intersection / Pedestrian within crosswalk area, approach direction unknown",790,Crossing Roadway - Vehicle Turning,0,Not a Cyclist
202102941649,0,1,28,28,11,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4139,28.220724384,998,Not Reported,1,Male,5,Pedestrian,0,None Noted,1,Yes,0,None Noted,781,Motorist Left Turn - Parallel Paths,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,790,Crossing Roadway - Vehicle Turning,0,Not a Cyclist
202102941906,0,1,12,12,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4142,28.170214087,29,29 Years,1,Male,5,Pedestrian,0,None Noted,0,None Noted,0,None Noted,741,"Dash - Run, No Visual Obstruction Noted",0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,740,"Dash - Run, No Visual Obstruction Noted / Dart-Out - Visual Obstruction Noted",0,Not a Cyclist
202102941957,0,1,58,58,6,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4143,26.897841247,43,43 Years,1,Male,6,Bicyclist,0,None Noted,1,Yes,0,None Noted,0,Not a Pedestrian,143,Motorist Drive Through - Sign-Controlled Intersection,7,Not a Pedestrian,1,At Intersection,77,Not a Pedestrian,3,Sidewalk  / Crosswalk / Driveway Access,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,140,Motorist Failed to Yield - Sign-Controlled Intersection
202102942159,0,1,83,83,13,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4148,28.859232865,52,52 Years,1,Male,5,Pedestrian,0,None Noted,0,None Noted,0,None Noted,910,Crossing an Expressway,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,910,Crossing Expressway,0,Not a Cyclist
202102943565,0,1,35,35,13,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4141,27.597083878,21,21 Years,1,Male,5,Pedestrian,0,None Noted,0,None Noted,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
202102944890,0,1,49,49,21,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,268,32.072861445,79,79 Years,1,Male,5,Pedestrian,1,Yes,1,Yes,0,None Noted,791,Motorist Right Turn - Parallel Paths,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,9,Not Derived/Unknown Initial Direction of Travel,7,Not a Cyclist,3,Southbound,2,Right Turn,2,Farside,7c,"Motorist turning right - Crash Occurred on Far Side of Intersection / Pedestrian within crosswalk area, approach direction unknown",790,Crossing Roadway - Vehicle Turning,0,Not a Cyclist
202102944915,0,1,49,49,21,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,260,32.072861441,45,45 Years,1,Male,6,Bicyclist,0,None Noted,1,Yes,0,None Noted,0,Not a Pedestrian,323,"Motorist Drive-Out - Driveway, Unknown Type",7,Not a Pedestrian,3,Not At Intersection,77,Not a Pedestrian,3,Sidewalk  / Crosswalk / Driveway Access,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,320,Motorist Failed to Yield - Midblock
202102945805,0,1,35,35,13,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4141,27.597083878,71,71 Years,2,Female,5,Pedestrian,0,None Noted,0,None Noted,0,None Noted,213,Backing Vehicle - Trafficway,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,4,Paved Shoulder / Bicycle Lane / Parking Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,200,Backing Vehicle,0,Not a Cyclist
202102946006,0,1,78,78,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,4146,233.67376221,61,61 Years,1,Male,6,Bicyclist,0,None Noted,0,None Noted,0,None Noted,0,Not a Pedestrian,319,Bicyclist Ride Out - Midblock - Unknown,7,Not a Pedestrian,3,Not At Intersection,77,Not a Pedestrian,1,Travel Lane,7,Not a Pedestrian,2,Facing Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,310,Bicyclist Failed to Yield - Midblock
202102946229,0,1,40,40,15,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4147,28.204767719,43,43 Years,1,Male,6,Bicyclist,0,None Noted,1,Yes,0,None Noted,0,Not a Pedestrian,970,Unknown Approach Paths,7,Not a Pedestrian,2,Intersection-Related,77,Not a Pedestrian,3,Sidewalk  / Crosswalk / Driveway Access,7,Not a Pedestrian,2,Facing Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,990,Other / Unknown - Insufficient Details
202102946351,0,1,59,59,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4137,28.216061424,43,43 Years,1,Male,5,Pedestrian,0,None Noted,0,None Noted,0,None Noted,680,Not At Intersection - Other / Unknown,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,990,Other / Unknown - Insufficient Details,0,Not a Cyclist
202102947620,0,1,28,28,11,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4139,28.220724384,998,Not Reported,1,Male,5,Pedestrian,0,None Noted,0,None Noted,0,None Noted,890,Non-Trafficway - Other / Unknown,0,Not a Cyclist,4,Non-Trafficway Location,7,Not a Cyclist,7,Non-Trafficway - Driveway,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,800,Non-Trafficway,0,Not a Cyclist
202102947995,0,1,58,58,6,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4143,31.109807573,71,71 Years,1,Male,5,Pedestrian,0,None Noted,0,None Noted,0,None Noted,313,Lying in Roadway,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,600,Pedestrian in Roadway - Circumstances Unknown,0,Not a Cyclist
202102948268,0,1,40,40,15,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4147,28.204767719,24,24 Years,1,Male,11,Person on Motorized Personal Conveyance,0,None Noted,0,None Noted,0,None Noted,250,Play Vehicle-Related,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,1,Intersection Area,7,Not a Cyclist,9,Not Derived/Unknown Initial Direction of Travel,7,Not a Cyclist,3,Southbound,3,Straight through,9,Unknown/None of the Above,99,Unknown/Insufficient Information,100,Unusual Circumstances,0,Not a Cyclist
202102948413,0,1,59,59,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4137,28.216061424,998,Not Reported,1,Male,12,Person on Non-Motorized Personal Conveyance,0,None Noted,1,Yes,0,None Noted,213,Backing Vehicle - Trafficway,0,Not a Cyclist,2,Intersection-Related,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,9,Not Derived/Unknown Initial Direction of Travel,7,Not a Cyclist,2,Eastbound,3,Straight through,1,Nearside,2d,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, other",200,Backing Vehicle,0,Not a Cyclist
202102949052,0,1,28,28,11,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4139,28.220724384,998,Not Reported,8,Not Reported,6,Bicyclist,0,None Noted,0,None Noted,0,None Noted,0,Not a Pedestrian,212,Motorist Left Turn- Opposite Direction,7,Not a Pedestrian,1,At Intersection,77,Not a Pedestrian,2,Bicycle Lane / Paved Shoulder / Parking Lane,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,210,Motorist Left Turn / Merge
202102949053,0,1,28,28,11,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4139,28.220724384,998,Not Reported,8,Not Reported,5,Pedestrian,1,Yes,0,None Noted,0,None Noted,741,"Dash - Run, No Visual Obstruction Noted",0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,9,Not Derived/Unknown Initial Direction of Travel,7,Not a Cyclist,4,Westbound,3,Straight through,1,Nearside,1c,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian within crosswalk area, approach direction unknown",740,"Dash - Run, No Visual Obstruction Noted / Dart-Out - Visual Obstruction Noted",0,Not a Cyclist
202102949056,0,1,28,28,11,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4139,28.220724384,998,Not Reported,1,Male,6,Bicyclist,0,None Noted,0,None Noted,0,None Noted,0,Not a Pedestrian,219,Motorist Turn / Merge - Other / Unknown,7,Not a Pedestrian,1,At Intersection,77,Not a Pedestrian,1,Travel Lane,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,290,Parallel Paths - Other Circumstances
202102949494,0,1,12,12,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4142,28.170214087,14,14 Years,1,Male,6,Bicyclist,0,None Noted,0,None Noted,0,None Noted,0,Not a Pedestrian,280,Parallel Paths - Other / Unknown,7,Not a Pedestrian,2,Intersection-Related,77,Not a Pedestrian,1,Travel Lane,7,Not a Pedestrian,3,Not applicable,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,290,Parallel Paths - Other Circumstances
202102949496,0,1,12,12,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,2,Stratum 2 - Not a MV Occupant Any Injury,4142,28.170214087,20,20 Years,1,Male,6,Bicyclist,1,Yes,0,None Noted,0,None Noted,0,Not a Pedestrian,158,Signalized Intersection - Other / Unknown,7,Not a Pedestrian,1,At Intersection,77,Not a Pedestrian,3,Sidewalk  / Crosswalk / Driveway Access,7,Not a Pedestrian,2,Facing Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,190,Crossing Paths - Other Circumstances
