CASENUM,VEH_NO,PSU,PSU_VAR,PSUSTRAT,REGION,REGIONNAME,URBANICITY,URBANICITYNAME,STRATUM,STRATUMNAME,PJ,WEIGHT,PVEHICLESF,PVEHICLESFNAME
202304689856,2,58,58,6,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,10,Stratum 10 - Other,4143,213.68759167,0,None Noted
202304690089,2,67,67,8,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,5,Stratum 5 - NLMY PV Serious Injury,4152,25.3093039,0,None Noted
202304691946,3,78,78,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,4,Stratum 4 - LMY PV Serious Injury,4146,11.77283624,0,None Noted
202304692037,3,40,40,15,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,4,Stratum 4 - LMY PV Serious Injury,4147,11.041466081,0,None Noted
202304692037,4,40,40,15,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,4,Stratum 4 - LMY PV Serious Injury,4147,11.041466081,0,None Noted
202304692037,5,40,40,15,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,4,Stratum 4 - LMY PV Serious Injury,4147,11.041466081,0,None Noted
202304692037,6,40,40,15,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,4,Stratum 4 - LMY PV Serious Injury,4147,11.041466081,0,None Noted
202304692780,2,75,75,19,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",2,Rural Area,10,Stratum 10 - Other,4144,213.71816658,0,None Noted
202304692781,2,75,75,19,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",2,Rural Area,7,Stratum 7 - M/H Truck or Bus,4144,154.05601341,0,None Noted
202304692975,2,67,67,8,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,10,Stratum 10 - Other,4152,216.86508996,0,None Noted
202304693946,2,63,63,16,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",2,Rural Area,10,Stratum 10 - Other,4135,216.81106297,0,None Noted
202304693989,2,37,37,24,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",2,Rural Area,2,Stratum 2 - Not a MV Occupant Any Injury,4136,22.706798788,0,None Noted
202304693989,3,37,37,24,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",2,Rural Area,2,Stratum 2 - Not a MV Occupant Any Injury,4136,22.706798788,0,None Noted
202304694774,2,12,12,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,8,Stratum 8 - NLMY PV Minor Injury,4142,135.18572704,0,None Noted
202304695318,2,49,49,21,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",1,Urban Area,10,Stratum 10 - Other,261,239.0037764,0,None Noted
202304697852,2,39,39,7,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,10,Stratum 10 - Other,4154,210.86019124,0,None Noted
202304698009,1,64,64,23,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",1,Urban Area,6,Stratum 6 - LMY PV Minor Injury,305,63.49290832,0,None Noted
202304698209,2,60,60,21,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",1,Urban Area,10,Stratum 10 - Other,257,259.26116231,0,None Noted
202304700663,2,78,78,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,4146,222.24582732,0,None Noted
202304700855,1,22,22,5,1,"Northeast (PA, NJ, NY, NH, VT, RI, MA, ME, CT)",2,Rural Area,10,Stratum 10 - Other,4149,222.74751596,0,None Noted
202304700858,3,77,77,9,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",2,Rural Area,8,Stratum 8 - NLMY PV Minor Injury,4151,132.36109359,0,None Noted
202304701564,1,51,51,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,9,Stratum 9 - LMY PV No Injuries in Crash,1098,141.1359637,0,None Noted
202304702624,2,32,32,17,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",2,Rural Area,7,Stratum 7 - M/H Truck or Bus,4145,157.12432243,0,None Noted
202304704509,2,67,67,8,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,8,Stratum 8 - NLMY PV Minor Injury,4152,131.12772881,0,None Noted
202304705496,2,37,37,24,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",2,Rural Area,5,Stratum 5 - NLMY PV Serious Injury,4136,24.918569519,0,None Noted
202304706933,1,20,20,25,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",2,Rural Area,10,Stratum 10 - Other,4140,213.05441116,0,None Noted
202304708558,2,65,65,13,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,7,Stratum 7 - M/H Truck or Bus,4138,159.50253429,0,None Noted
202304708746,2,28,28,11,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,9,Stratum 9 - LMY PV No Injuries in Crash,4139,141.34570405,0,None Noted
202304709352,2,39,39,7,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,7,Stratum 7 - M/H Truck or Bus,4154,153.46384112,0,None Noted
202304709933,2,68,68,23,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",1,Urban Area,5,Stratum 5 - NLMY PV Serious Injury,295,27.989933192,0,None Noted
202304709933,3,68,68,23,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",1,Urban Area,5,Stratum 5 - NLMY PV Serious Injury,295,27.989933192,0,None Noted
202304710217,2,58,58,6,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,9,Stratum 9 - LMY PV No Injuries in Crash,4143,135.86534075,0,None Noted
202304710483,2,67,67,8,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,10,Stratum 10 - Other,4152,216.86508996,0,None Noted
202304711009,2,59,59,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,4137,222.57657535,0,None Noted
202304711958,2,40,40,15,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,8,Stratum 8 - NLMY PV Minor Injury,4147,134.72857413,0,None Noted
202304713203,2,14,14,9,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",2,Rural Area,9,Stratum 9 - LMY PV No Injuries in Crash,4155,139.44409594,0,None Noted
202304713203,3,14,14,9,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",2,Rural Area,9,Stratum 9 - LMY PV No Injuries in Crash,4155,139.44409594,0,None Noted
202304717088,2,39,39,7,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,10,Stratum 10 - Other,4154,210.86019124,0,None Noted
202304717088,3,39,39,7,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,10,Stratum 10 - Other,4154,210.86019124,0,None Noted
202304717088,4,39,39,7,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,10,Stratum 10 - Other,4154,210.86019124,0,None Noted
202304717088,5,39,39,7,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,10,Stratum 10 - Other,4154,210.86019124,0,None Noted
202304717088,6,39,39,7,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,10,Stratum 10 - Other,4154,210.86019124,0,None Noted
202304717874,2,51,51,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,1098,225.61733964,0,None Noted
202304718122,2,32,32,17,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",2,Rural Area,6,Stratum 6 - LMY PV Minor Injury,4145,53.487926763,0,None Noted
202304718289,2,67,67,8,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,10,Stratum 10 - Other,4152,216.86508996,0,None Noted
202304718943,1,77,77,9,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",2,Rural Area,10,Stratum 10 - Other,4151,217.37927863,0,None Noted
202304719988,2,44,44,25,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",2,Rural Area,10,Stratum 10 - Other,388,215.53731289,0,None Noted
202304719988,3,44,44,25,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",2,Rural Area,10,Stratum 10 - Other,388,215.53731289,0,None Noted
202304720006,2,44,44,25,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",2,Rural Area,10,Stratum 10 - Other,388,215.53731289,0,None Noted
202304721017,2,38,38,14,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,8,Stratum 8 - NLMY PV Minor Injury,573,135.3477242,0,None Noted
202304721591,2,59,59,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,4137,222.57657535,0,None Noted
202304722017,2,65,65,13,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,4138,221.11846351,0,None Noted
202304722429,2,22,22,5,1,"Northeast (PA, NJ, NY, NH, VT, RI, MA, ME, CT)",2,Rural Area,10,Stratum 10 - Other,4149,222.74751596,0,None Noted
202304722754,2,54,54,14,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,7,Stratum 7 - M/H Truck or Bus,516,161.23982543,0,None Noted
202304723136,2,38,38,14,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,573,222.75232233,0,None Noted
202304723644,2,56,208,20,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",1,Urban Area,5,Stratum 5 - NLMY PV Serious Injury,208,29.578596355,0,None Noted
202304723644,3,56,208,20,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",1,Urban Area,5,Stratum 5 - NLMY PV Serious Injury,208,29.578596355,0,None Noted
202304724159,1,20,20,25,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",2,Rural Area,9,Stratum 9 - LMY PV No Injuries in Crash,4140,136.40667472,0,None Noted
202304724159,3,20,20,25,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",2,Rural Area,9,Stratum 9 - LMY PV No Injuries in Crash,4140,136.40667472,0,None Noted
202304724885,2,14,14,9,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",2,Rural Area,2,Stratum 2 - Not a MV Occupant Any Injury,4155,23.068243398,0,None Noted
202304724885,3,14,14,9,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",2,Rural Area,2,Stratum 2 - Not a MV Occupant Any Injury,4155,23.068243398,0,None Noted
202304727129,2,63,63,16,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",2,Rural Area,7,Stratum 7 - M/H Truck or Bus,4135,157.50461668,0,None Noted
202304727635,2,59,59,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,4137,222.57657535,0,None Noted
202304728115,2,28,28,11,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,4139,223.21940771,0,None Noted
202304728251,2,12,12,12,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,9,Stratum 9 - LMY PV No Injuries in Crash,4142,141.83585636,0,None Noted
202304728448,2,40,40,15,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,4147,221.35366521,0,None Noted
202304728544,2,39,39,7,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,7,Stratum 7 - M/H Truck or Bus,4154,153.46384112,0,None Noted
202304729031,2,64,64,23,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",1,Urban Area,10,Stratum 10 - Other,305,266.39102784,0,None Noted
202304729305,2,20,20,25,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",2,Rural Area,10,Stratum 10 - Other,4140,213.05441116,0,None Noted
202304729440,1,32,32,17,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",2,Rural Area,10,Stratum 10 - Other,4145,220.3414238,0,None Noted
202304730117,2,44,44,25,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",2,Rural Area,8,Stratum 8 - NLMY PV Minor Injury,388,128.85764463,0,None Noted
202304730189,2,46,46,22,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",1,Urban Area,8,Stratum 8 - NLMY PV Minor Injury,338,146.91265271,0,None Noted
202304730456,2,63,63,16,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",2,Rural Area,7,Stratum 7 - M/H Truck or Bus,4135,157.50461668,0,None Noted
202304732110,2,56,214,20,4,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",1,Urban Area,5,Stratum 5 - NLMY PV Serious Injury,214,29.578596351,0,None Noted
202304732173,3,59,59,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,8,Stratum 8 - NLMY PV Minor Injury,4137,136.09449501,0,None Noted
202304732173,4,59,59,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,8,Stratum 8 - NLMY PV Minor Injury,4137,136.09449501,0,None Noted
202304732523,2,78,78,10,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,9,Stratum 9 - LMY PV No Injuries in Crash,4146,141.59880277,0,None Noted
202304732754,2,39,39,7,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",1,Urban Area,9,Stratum 9 - LMY PV No Injuries in Crash,4154,134.35656935,0,None Noted
202304732786,2,14,14,9,2,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",2,Rural Area,10,Stratum 10 - Other,4155,218.0723707,0,None Noted
202304735245,2,83,83,13,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,7,Stratum 7 - M/H Truck or Bus,4148,159.29212129,0,None Noted
202304736078,2,65,65,13,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,8,Stratum 8 - NLMY PV Minor Injury,4138,134.88703025,0,None Noted
202304736276,2,40,40,15,3,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",1,Urban Area,10,Stratum 10 - Other,4147,221.35366521,0,None Noted
